Ligand,s641a_LGFE,s641a_LE,hERG_9CHQ_LGFE,9chq_LE,Nav1.5_6LQA_LGFE,6lqa_LE,Risk,optN_n_LGFE,TdP,hERG5_LGFE,Cav1.2_LGFE,optn_LE,cavRef_LE,MEOO,GEND,GEHC,hERG5_GENA,PRPC,hERG5_MAMN,BENC,ACEC,MAMC,FORC,MEOO9,GEND9,GEHC9,hERG9_GENA,PRPC9,hERG9_MAMN,hERG9_BENC,ACEC9,MAMC9,FORC9,Nav1.5_MEOO,GEND6,GEHC6,GENA6,PRPC6,Nav1.5_MAMN,Nav1.5_BENC,ACEC6,MAMC6,FORC6,MEOOs,GENDs,GEHCs,GENAs,PRPCs,hERGS_MAMN,BENCs,ACECs,MAMCs,MEOOc,Cav1.2_GEND,GEHCc,Cav1.2_GENA,PRPCc,Cav1.2_MAMN,BENCc,ACECc,MAMCc,MolWt,LogP,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount,BertzCT,BalabanJ,Kappa1,Kappa2,Kappa3,smiles
Apalutamide_PR_p,-8.949,-0.271,-6.153,-0.186,-14.87,-0.451,PR,-9.557,1,-9.554,-3.971,,,0,-0.84,-0.93,-2.43,-3.35,0,-1.99,0,0,0,0,-0.25,-0.06,-2.07,-1.12,0,-2.62,0,0,0,0,-0.11,-0.83,-4.23,-4.62,0,-5.06,0,0,0,0,-0.3,-1.77,-0.43,-3.32,0,-3.13,0,0,0,1.8,-2.04,0.56,-0.7,0,-3.63,0,0,499.619,0.9708,97.02,8,6,6,4,0,1,33,1181.287535,1.895902891,12.84594466,9.682715754,4.431335216,[H]C1NC(CN)C(C(F)(F)F)C([H])C1N1C(S)N(C2C([H])C([H])C(C(O)N([H])C([H])([H])[H])C(F)C2[H])C2(C1O)C([H])([H])C([H])([H])C2([H])[H]
Apomorphine_PR_p,-7.317,-0.366,-7.476,-0.374,-12.446,-0.622,PR,-9.013,1,-11.766,-7.619,,,-0.92,0,0,0,-1.32,-6.2,-3.31,0,0,0,-0.68,0,0,0,-0.52,-1.7,-4.54,0,0,0,-1.1,0,0,0,-2.46,-2.7,-6.18,0,0,0,-1,0,0,0,-1.08,-0.44,-4.77,0,0,-0.69,0,0,0,-1.09,-1.8,-4.05,0,0,280.432,0.4576,44.9,2,3,3,4,0,1,20,950.3650503,2.162369841,4.240319545,4.961169514,1.89283372,[H]OC1C([H])C([H])C2C(C1O[H])C1C([H])C([H])C([H])C3C1C([H])(C2([H])[H])[N+]([H])(C([H])([H])[H])C([H])([H])C3([H])[H]
Aripiprazole_PR_p,-9.216,-0.307,-10.135,-0.338,-20.411,-0.68,PR,-13.657,1,-16.221,-9.166,,,0,-0.6,0,-1.8,-3.1,-6.2,-4.51,0,0,0,0,-1.3,0,-1.27,-0.58,-1.8,-5.26,0,0,0,0,-0.59,0,-3.98,-4.05,-3.6,-8.22,0,0,0,0,0.16,0,-0.38,-2.03,-0.76,-6.22,0,0,0,-0.37,0,-0.09,-2.67,-1.6,-4.41,0,0,422.678,2.0475,49.17,4,3,7,4,0,1,30,1521.15317,1.830211125,6.686426593,11.08985969,5.976662157,[H]C1C([H])C(C)C(C)C(N2C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC3C([H])C([H])C4C(C3[H])N([H])C(O)C([H])([H])C4([H])[H])C([H])([H])C2([H])[H])C1[H]
Asenapine_PR_p,-7.67,-0.384,-8.126,-0.406,-13.444,-0.672,PR,-9.242,1,-10.93,-6.817,,,0,0,0,-1,-1.36,-6.2,-2.34,0,0,0,0,0,0,-0.99,-0.33,-1.7,-5.07,0,0,0,0,0,0,-1.35,-1.22,-3.1,-7.78,0,0,0,0,0,0,0.26,-1.65,-1.6,-4.64,0,0,0,0,0,-0.16,-1.22,-1.8,-3.61,0,0,278.46,2.1409,13.67,1,1,1,4,0,1,20,870.4088668,2.163867177,4.47456203,5.280626557,2.234112837,[H]C1C([H])C([H])C2C(OC3C([H])C([H])C(C)C([H])C3C3([H])C2([H])C([H])([H])[N+]([H])(C([H])([H])[H])C3([H])[H])C1[H]
Astemizole_KR_p,-10.69,-0.314,-11.585,-0.341,-21.31,-0.627,KR,-12.625,1,-16.251,-10.15,,,0,-0.36,-0.58,-1.73,-2.4,-4.3,-6.87,0,0,0,0,-0.16,-0.46,-1.75,-0.09,-2.5,-6.61,0,0,0,0,-0.73,-0.89,-2.37,-2.7,-3.6,-11.04,0,0,0,0,-0.24,-0.87,-0.26,-2.7,-0.48,-6.15,0,0,0,-0.39,-0.06,-0.16,-0.77,-1.8,-6.95,0,0,479.749,3.2469,40.97,4,3,9,5,0,1,34,1736.26037,1.706493219,7.431372336,12.31405794,6.531802451,[H]C1C([H])C([H])C2C(NC(N([H])C3([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])C4C([H])C([H])C(OC([H])([H])[H])C([H])C4[H])C([H])([H])C3([H])[H])N2C([H])([H])C2C([H])C([H])C(F)C([H])C2[H])C1[H]
Atomoxetine_PR_p,-8.847,-0.466,-8.764,-0.461,-14.513,-0.764,PR,-9.04,1,-12.097,-7.314,,,0,0,0,-0.5,-1.56,-6.2,-3.82,0,0,0,0,0,0,-0.46,-0.58,-2.1,-5.61,0,0,0,0,0,0,-0.62,-2.29,-3.8,-7.81,0,0,0,0,0,0,-0.04,-1.18,-1.6,-6,0,0,0,0,0,0.05,-0.39,-1.8,-5.21,0,0,268.465,3.1139,25.84,1,1,8,2,0,1,19,908.7601039,2.924737721,3.457439543,8.261190687,4.750563872,[H]C1C([H])C([H])C(C([H])(OC2C([H])C([H])C([H])C([H])C2C([H])([H])[H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[H])C([H])C1[H]
Azithromycin_KR_p,-12.869,-0.247,-8.776,-0.169,-23.791,-0.458,KR,-15.996,1,-18.806,-9.179,,,-1.29,0,0,-1.7,-8.17,-7.7,0,0,0,0,-1.12,0,0,-0.66,-4.51,-2.5,0,0,0,0,-1.88,0,0,-4.23,-11.44,-6.2,0,0,0,0,-1.73,0,0,-0.71,-10.19,-0.25,0,0,0,-1.28,0,0,0.17,-4.53,-3.5,0,0,0,753.028,-1.1417,185.64,12,8,26,3,0,1,52,3951.341446,4.099565409,8.058228723,18.14078331,10.23945871,[H]OC1([H])C([H])(C([H])([H])[H])OC([H])(OC2([H])C([H])(C([H])([H])[H])C(O)OC([H])(C([H])([H])C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])(O[H])C([H])(C([H])([H])[H])[N+]([H])(C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(O[H])(C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])[H])C([H])([H])C([H])([N+]([H])(C([H])([H])[H])C([H])([H])[H])C3([H])O[H])C2([H])C([H])([H])[H])C([H])([H])C1(OC([H])([H])[H])C([H])([H])[H]
Bedaquiline_PR_p,-10.859,-0.293,-10.654,-0.288,-19.649,-0.531,PR,-13.413,1,-15.383,-8.286,,,-0.27,0,-0.15,-1.5,-0.91,-6.2,-6.32,0,0,0,0.16,0,-0.08,-1.4,-0.31,-2.3,-6.72,0,0,0,-0.12,0,-0.56,-1.92,-2.11,-3.3,-11.58,0,0,0,-0.35,0,-0.57,-0.48,-1.54,-0.98,-6.92,0,0,-0.35,0,0.51,0.29,-0.36,-1.6,-6.78,0,0,515.656,4.2274,45.93,3,3,12,5,0,1,37,1783.233403,2.148004702,8.951150966,12.60736863,6.152616401,[H]OC(C1C([H])C([H])C([H])C2C([H])C([H])C([H])C([H])C21)(C([H])(C1C(OC([H])([H])[H])NC2C([H])C([H])C(B)C([H])C2C1[H])C1C([H])C([H])C([H])C([H])C1[H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H]
Bendamustine_PR_p,-8.201,-0.357,-7.007,-0.305,-13.435,-0.584,PR,-9.91,1,-8.334,-7.585,,,0,0,-0.69,-2.41,-3.39,0,-1.94,0.12,0,0,0,0,0.14,-1.6,-1.83,0,-1.3,-2.4,0,0,0,0,-1.17,-3.06,-5.27,0,-2.1,-1.9,0,0,0,0,-1.35,-0.71,-3.66,0,-1.43,-1,0,0,0,-1.75,0.47,-2.08,0,-1.27,-3,0,327.513,1.7402,58.97,5,3,10,2,0,1,23,984.5453182,2.83313146,5.648064052,9.326719671,5.134126298,[H]C1C([H])C(N(C([H])([H])C([H])([H])C)C([H])([H])C([H])([H])C)C([H])C2NC(C([H])([H])C([H])([H])C([H])([H])C(O)O)N(C([H])([H])[H])C12
Benzphetamine_SR_p,-7.728,-0.429,-8.102,-0.45,-13.264,-0.737,SR,-8.718,1,-11.097,-7.389,,,0,0,0,0,-1.07,-6.2,-3.81,0,0,0,0,0,0,0,-0.98,-1.7,-5.42,0,0,0,0,0,0,0,-1.5,-3.8,-7.97,0,0,0,0,0,0,0,-1.49,-0.98,-5.27,0,0,0,0,0,0,-0.67,-1.7,-5.04,0,0,252.466,3.4403,4.44,0,1,7,2,0,1,18,802.7324101,2.983492573,3.07920166,7.525199094,4.569006122,[H]C1C([H])C([H])C(C([H])([H])C([H])(C([H])([H])[H])[N+]([H])(C([H])([H])[H])C([H])([H])C2C([H])C([H])C([H])C([H])C2[H])C([H])C1[H]
Bepridil_KR_p,-9.059,-0.336,-9.073,-0.336,-16.734,-0.62,KR,-12.411,1,-13.27,-8.721,,,0,0,0,-0.4,-3.26,-5.2,-4.37,0,0,0,0,0,0,-1.03,-2.41,-1,-4.6,0,0,0,0,0,0,-0.55,-4.25,-3.1,-8.86,0,0,0,0,0,0,0.09,-4.83,-0.21,-4.11,0,0,0,0,0,-0.02,-1.4,-1.7,-5.61,0,0,379.653,3.9213,16.91,2,1,12,3,0,1,27,1574.880375,2.767461213,4.411923703,11.77831593,7.327017358,[H]C1C([H])C([H])C(N(C([H])([H])C2C([H])C([H])C([H])C([H])C2[H])C([H])([H])C([H])(C([H])([H])OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[N+]2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])C1[H]
Betrixaban_PR_p,-8.76,-0.274,-8.193,-0.256,-17.719,-0.554,PR,-12.514,1,-12.918,-8.282,,,0,-0.88,-0.33,-2.83,0.69,0,-5.49,0,-4.1,0,0,-0.67,-0.02,-1.64,-1.01,0,-5.4,0,0.55,0,0,-0.92,-0.49,-3.57,-1.4,0,-10.74,0,-0.57,0,0,0,-0.59,-0.21,-0.66,0,-8.19,0,0.88,0,0.56,-1.01,-0.23,-0.63,0,-4.92,0,-2,455.688,0.9845,115.04,8,6,13,3,0,1,32,1227.335306,2.076198259,9.281885363,12.40284893,7.089930537,[H]C1NC(N([H])C(O)C2C([H])C(OC([H])([H])[H])C([H])C([H])C2N([H])C(O)C2C([H])C([H])C(C(N([H])[H])N(C([H])([H])[H])C([H])([H])[H])C([H])C2[H])C([H])C([H])C1C
Bicalutamide_PR_p,-8.551,-0.295,-8.872,-0.306,-15.123,-0.521,PR,-10.396,1,-10.712,-6.731,,,-0.59,-0.33,0,-2.26,-1.58,0,-5.97,0,0,0,0.06,0.03,0,-1.56,-1.13,0,-6.25,0,0,0,-0.75,-0.67,0,-3.35,-1.66,0,-8.68,0,0,0,-0.4,-0.34,0,-0.23,-0.18,0,-7.43,0,0,-0.47,0.07,0,0.3,-0.67,0,-5.96,0,0,450.539,2.9826,118.97,6,6,9,2,0,1,29,962.9473136,2.750506546,11.62326431,9.537945514,6.652743776,[H]OC(C(O)N([H])C1C([H])C([H])C(CN)C(C(F)(F)F)C1[H])(C([H])([H])[H])C([H])([H])S(O)(O)C1C([H])C([H])C(F)C([H])C1[H]
Bosutinib_PR_p,-11.384,-0.316,-11.368,-0.316,-24.374,-0.677,PR,-14.784,1,-20.8,-11.131,,,0,-0.3,-0.47,-3.49,-1.77,-10.4,-4.36,0,0,0,0,-0.22,0.09,-2.11,-1.27,-2.9,-4.96,0,0,0,0,-0.58,-0.56,-4.48,-2.35,-9.5,-6.96,0,0,0,0,-0.1,-0.47,-0.86,-1.77,-3.8,-4.32,0,0,0,-0.12,-0.31,0.16,-2.21,-3.1,-5.54,0,0,511.796,-1.4456,86.65,6,5,13,4,0,1,36,1754.79417,1.883895401,8.838259308,13.65206163,7.000679334,[H]C1NC2C([H])C(OC([H])([H])C([H])([H])C([H])([H])[N+]3([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])C3([H])[H])C(OC([H])([H])[H])C([H])C2C(N([H])C2C([H])C(OC([H])([H])[H])C(C)C([H])C2C)C1CN
Buprenorphine_PR_p,-9.757,-0.287,-6.337,-0.186,-15.858,-0.466,PR,-12.127,1,-12.067,-6.333,,,-0.84,0,-0.14,-0.73,-6.52,-3.8,0.02,0,0,0,-0.83,0,-0.3,-0.74,-2.88,-1.1,-0.5,0,0,0,-0.61,0,-0.2,-0.66,-9.63,-3.3,-1.38,0,0,0,-0.8,0,-0.48,-0.19,-6.68,-0.21,-1.4,0,0,-0.68,0,-0.45,-0.11,-3.38,-0.75,-0.96,0,0,474.706,2.5806,63.36,4,3,8,8,0,1,34,2410.408827,2.042378374,5.434477317,6.80796381,2.457248237,[H]OC1C([H])C([H])C2C3C1OC1([H])C4(OC([H])([H])[H])C([H])([H])C([H])([H])C5(C([H])([H])C4([H])C(O[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C31C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1([H])C([H])([H])C1([H])[H])C5([H])C2([H])[H]
Cabozantinib_PR_p,-10.669,-0.288,-10.815,-0.292,-20.829,-0.563,PR,-13.183,1,-13.378,-8.132,,,0,-0.65,-0.48,-3.06,-0.91,0,-8.27,0,0,0,0,-0.04,-0.07,-3.01,-0.86,0,-6.85,0,0,0,0,-1.47,-0.53,-5.14,-2.98,0,-10.69,0,0,0,0,0,-0.61,-0.35,-1.47,0,-8.24,0,0,0,-0.99,0.47,0.31,-0.68,0,-7.26,0,0,527.722,2.3616,104.24,8,5,12,5,0,1,37,1501.210045,1.436545426,11.12100905,12.41743026,6.509586556,[H]C1NC2C([H])C(OC([H])([H])[H])C(OC([H])([H])[H])C([H])C2C(OC2C([H])C([H])C(N([H])C(O)C3(C(O)N([H])C4C([H])C([H])C(F)C([H])C4[H])C([H])([H])C3([H])[H])C([H])C2[H])C1[H]
Capecitabine_PR_p,-8.862,-0.354,-6.425,-0.257,-15.128,-0.605,PR,-10.421,1,-10.809,-5.382,,,-0.32,-0.68,-0.56,-3.6,-4.68,0,-0.96,0,0,0,-0.46,-0.5,0.13,-2.37,-2.46,0,-0.75,0,0,0,-0.76,-0.57,-0.72,-4.46,-7.99,0,-0.64,0,0,0,-0.91,-0.05,-0.65,-0.81,-6.03,0,-0.42,0,0,-1.75,-0.15,-1.22,-0.07,-1.11,0,-1.04,0,0,367.418,-1.6294,126.68,9,6,12,2,0,1,25,1154.388147,2.463377016,6.031953969,9.489754346,5.280825484,[H]OC1([H])C([H])(N2C(O)NC(N([H])C(O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(F)C2[H])OC([H])(C([H])([H])[H])C1([H])O[H]
Carbetocin_PR_p,-12.405,-0.18,-9.221,-0.134,-24.967,-0.362,PR,-16.262,1,-16.303,2.725,,,0,-2.89,-0.15,-3.59,-7.12,0,-2.53,0,0,0,0,-5.98,0.47,-0.45,-2.8,0,-0.46,0,0,0,0,-4.3,-0.2,-6.64,-10.79,0,-3.06,0,0,0,0,-1.15,-0.36,-1.05,-8.16,0,-1.7,0,0,0,3.27,1.8,1.3,-2.62,0,-0.96,0,0,1016.403,-4.4471,397.27,24,21,29,3,0,1,69,4147.984446,3.396912302,16.00443712,32.67471565,22.43629471,[H]C1C([H])C(C([H])([H])C2([H])C(O)N([H])C([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C(O)N([H])C([H])(C([H])([H])C([H])([H])C(O)N([H])[H])C(O)N([H])C([H])(C([H])([H])C(O)N([H])[H])C(O)N([H])C([H])(C(O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])C(O)N([H])C([H])(C(O)N([H])C([H])([H])C(O)N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])SC([H])([H])C([H])([H])C([H])([H])C(O)N2[H])C([H])C([H])C1OC([H])([H])[H]
Ceritinib_PR_p,-9.823,-0.259,-8.971,-0.236,-21.446,-0.564,PR,-14.06,1,-18.778,-8.457,,,0,-1.07,-0.42,-4.1,-3,-6.2,-3.95,0,0,0,0,0.98,-0.24,-2.39,-1.55,-1.9,-3.85,0,0,0,0,-0.75,-0.41,-3.01,-5.62,-3.8,-7.89,0,0,0,0,-0.46,-0.24,-0.92,-2.71,-2.1,-3.34,0,0,0,0.91,0.03,-0.25,-2.83,-1.4,-4.94,0,0,558.898,3.2561,114.42,7,7,14,4,0,1,38,1994.970257,2.046167792,8.564668059,13.79547536,7.648469792,[H]C1NC(N([H])C2C([H])C(C([H])([H])[H])C(C3([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C3([H])[H])C([H])C2OC([H])(C([H])([H])[H])C([H])([H])[H])NC(N([H])C2C([H])C([H])C([H])C([H])C2S(O)(O)C([H])(C([H])([H])[H])C([H])([H])[H])C1C
